
SIMPLE-AWD: drop=0.5 lr=0.0001
epoch  train_loss  valid_loss  accuracy
1      0.672859    0.662507    0.685990
2      0.625736    0.713267    0.468599
3      0.628580    0.709157    0.483092
4      0.615888    0.655198    0.594203
5      0.605609    0.605841    0.671498
6      0.609829    0.583203    0.724638
7      0.584647    0.575041    0.739130
8      0.565729    0.556148    0.729469
9      0.543843    0.529829    0.743961
10     0.545709    0.457758    0.830918
11     0.525387    0.430000    0.855072
12     0.534363    0.443465    0.816425
13     0.526024    0.445441    0.806763
14     0.494481    0.412586    0.845411
15     0.511169    0.396461    0.845411
16     0.480958    0.396649    0.850242
17     0.490412    0.377663    0.864734
18     0.472633    0.374243    0.864734
19     0.415054    0.354310    0.855072
20     0.393338    0.350670    0.864734
epoch  train_loss  valid_loss  accuracy
1      0.614061    0.644084    0.685990
2      0.614853    0.590170    0.695652
3      0.629042    0.590190    0.700483
4      0.595673    0.536921    0.743961
5      0.570605    0.502815    0.806763
6      0.574165    0.508230    0.758454
7      0.574631    0.499938    0.777778
8      0.549582    0.436685    0.845411
9      0.512570    0.433344    0.821256
10     0.485053    0.423579    0.826087
11     0.527267    0.401883    0.835749
12     0.492381    0.399200    0.830918
13     0.500059    0.392256    0.835749
14     0.471607    0.375049    0.864734
15     0.483489    0.356842    0.864734
16     0.453236    0.342132    0.884058
17     0.467129    0.404647    0.797101
18     0.434260    0.376790    0.821256
19     0.398450    0.316015    0.879227
20     0.456514    0.319844    0.859903
epoch  train_loss  valid_loss  accuracy
1      0.659541    0.733328    0.314010
2      0.638563    0.653203    0.579710
3      0.578553    0.591462    0.743961
4      0.594023    0.534218    0.753623
5      0.618652    0.529861    0.777778
6      0.612831    0.494878    0.777778
7      0.572414    0.513018    0.772947
8      0.581987    0.462482    0.801932
9      0.526432    0.497816    0.763285
10     0.548591    0.426446    0.859903
11     0.533855    0.436116    0.811594
12     0.525647    0.411833    0.850242
13     0.481360    0.366536    0.855072
14     0.519791    0.361845    0.874396
15     0.479095    0.337884    0.884058
