
SIMPLE-AWD: drop=0.3 lr=0.0001
epoch  train_loss  valid_loss  accuracy
1      0.691655    0.699604    0.391304
2      0.647666    0.576514    0.739130
3      0.645241    0.558023    0.758454
4      0.622727    0.502505    0.763285
5      0.604528    0.492350    0.768116
6      0.585737    0.459754    0.821256
7      0.591984    0.445480    0.826087
8      0.536989    0.419475    0.840580
9      0.544335    0.398669    0.830918
10     0.526814    0.393503    0.859903
11     0.499155    0.371816    0.869565
12     0.445091    0.377056    0.840580
13     0.479885    0.356426    0.859903
14     0.440991    0.344379    0.850242
15     0.430386    0.330911    0.869565
16     0.381667    0.335250    0.850242
17     0.387255    0.370325    0.826087
18     0.344006    0.302165    0.869565
19     0.344099    0.317822    0.864734
20     0.352646    0.312968    0.864734
epoch  train_loss  valid_loss  accuracy
1      0.614540    0.676284    0.700483
2      0.640767    0.647627    0.714976
3      0.604056    0.613827    0.719807
4      0.606919    0.562494    0.714976
5      0.575423    0.546146    0.768116
6      0.579485    0.517134    0.758454
7      0.551300    0.503731    0.777778
8      0.558950    0.477083    0.792271
9      0.509467    0.451245    0.835749
10     0.469602    0.436942    0.826087
11     0.492682    0.386019    0.879227
12     0.460395    0.412644    0.801932
13     0.389795    0.384155    0.874396
14     0.415762    0.379369    0.869565
15     0.394700    0.425101    0.806763
16     0.407664    0.351402    0.884058
17     0.405440    0.353143    0.850242
18     0.405993    0.333455    0.869565
19     0.348851    0.371838    0.845411
20     0.352528    0.317426    0.888889
epoch  train_loss  valid_loss  accuracy
1      0.705783    0.708788    0.328502
2      0.680092    0.616815    0.695652
3      0.664152    0.634451    0.642512
4      0.612466    0.574216    0.758454
5      0.571333    0.531315    0.763285
6      0.565374    0.485080    0.797101
7      0.563120    0.488010    0.768116
8      0.576787    0.438643    0.835749
9      0.523046    0.432640    0.835749
10     0.533918    0.392505    0.850242
11     0.525697    0.365144    0.874396
12     0.521036    0.348364    0.893720
13     0.499415    0.347024    0.874396
14     0.455904    0.327120    0.903382
15     0.450627    0.328119    0.879227
16     0.434537    0.320527    0.893720
17     0.380784    0.299946    0.898551
18     0.416456    0.276742    0.903382
19     0.426057    0.294656    0.888889
20     0.376016    0.280342    0.898551
epoch  train_loss  valid_loss  accuracy
1      0.738658    0.668209    0.685990
2      0.722181    0.583776    0.710145
3      0.692882    0.605741    0.710145
4      0.667541    0.596557    0.685990
5      0.648730    0.488320    0.782609
6      0.624736    0.505376    0.806763
7      0.555893    0.507409    0.763285
8      0.518440    0.439922    0.811594
9      0.492397    0.430709    0.835749
10     0.536123    0.376438    0.874396
11     0.520133    0.365079    0.869565
12     0.439976    0.363012    0.845411
13     0.479993    0.334756    0.874396
14     0.450774    0.313577    0.908213
15     0.396436    0.302897    0.884058
16     0.409369    0.292073    0.879227
17     0.386600    0.282094    0.888889
18     0.415735    0.285558    0.879227
19     0.352511    0.281819    0.893720
20     0.335566    0.268994    0.893720
epoch  train_loss  valid_loss  accuracy
1      0.658231    0.701354    0.352657
2      0.664494    0.670710    0.560386
3      0.609010    0.599505    0.666667
4      0.614711    0.499560    0.792271
5      0.540007    0.537714    0.739130
6      0.573706    0.450717    0.797101
7      0.536757    0.482762    0.797101
8      0.508629    0.386465    0.855072
9      0.488241    0.364043    0.869565
10     0.462169    0.369840    0.850242
11     0.448878    0.320280    0.884058
12     0.461384    0.337868    0.855072
13     0.421798    0.315893    0.888889
14     0.428577    0.328488    0.869565
15     0.408786    0.298549    0.879227
16     0.389291    0.297178    0.879227
17     0.381215    0.287880    0.893720
18     0.417763    0.353130    0.850242
19     0.408106    0.281623    0.898551
20     0.421380    0.271020    0.888889
total elapsed time: 00:03:54

SIMPLE-AWD-Finetuned-Autopsy: drop=0.3 lr=0.0001
epoch  train_loss  valid_loss  accuracy
1      0.655385    0.636448    0.719807
2      0.629771    0.616191    0.700483
3      0.607577    0.567584    0.753623
4      0.631843    0.548124    0.758454
epoch  train_loss  valid_loss  accuracy
1      0.643901    0.545920    0.763285
2      0.600735    0.535688    0.797101
3      0.586436    0.532643    0.797101
4      0.553337    0.516354    0.801932
5      0.533421    0.509668    0.821256
6      0.535922    0.479313    0.787440
7      0.522532    0.446829    0.840580
8      0.477359    0.472495    0.811594
9      0.494575    0.427461    0.855072
10     0.485422    0.410615    0.811594
11     0.479819    0.384318    0.826087
12     0.484467    0.368501    0.869565
13     0.425484    0.398624    0.826087
14     0.449631    0.383141    0.859903
15     0.414090    0.349521    0.884058
16     0.364382    0.330312    0.884058
17     0.390495    0.335402    0.855072
18     0.318490    0.315806    0.879227
19     0.373836    0.310168    0.888889
20     0.363417    0.306925    0.888889
epoch  train_loss  valid_loss  accuracy
1      0.645628    0.659709    0.579710
2      0.662277    0.630642    0.705314
3      0.638044    0.556071    0.729469
4      0.603562    0.529119    0.739130
epoch  train_loss  valid_loss  accuracy
1      0.611938    0.506619    0.763285
2      0.603531    0.523675    0.743961
3      0.587659    0.519679    0.753623
4      0.545000    0.501494    0.768116
5      0.548099    0.504162    0.772947
6      0.514163    0.480615    0.801932
7      0.511638    0.473093    0.840580
8      0.528936    0.437316    0.835749
9      0.467049    0.424068    0.816425
10     0.416956    0.434896    0.830918
11     0.396036    0.382598    0.864734
12     0.380079    0.388244    0.845411
13     0.407493    0.336061    0.874396
14     0.420240    0.338721    0.879227
15     0.437341    0.327316    0.879227
16     0.412983    0.320071    0.879227
17     0.376776    0.305658    0.874396
18     0.349040    0.315624    0.879227
19     0.345131    0.301954    0.884058
20     0.381555    0.307718    0.884058
epoch  train_loss  valid_loss  accuracy
1      0.666717    0.656585    0.589372
2      0.655404    0.592030    0.681159
3      0.613856    0.566904    0.768116
4      0.613763    0.566893    0.777778
epoch  train_loss  valid_loss  accuracy
1      0.616752    0.534519    0.763285
2      0.581814    0.540930    0.763285
3      0.582204    0.470028    0.782609
4      0.555555    0.483983    0.830918
5      0.539555    0.474184    0.806763
6      0.490493    0.425197    0.840580
7      0.489943    0.412253    0.864734
8      0.496776    0.391193    0.850242
9      0.511405    0.400183    0.855072
10     0.481255    0.381347    0.879227
11     0.464855    0.355670    0.864734
12     0.469006    0.350561    0.869565
13     0.420423    0.375268    0.855072
14     0.392754    0.320764    0.855072
15     0.430471    0.319227    0.874396
16     0.394626    0.310159    0.874396
17     0.357221    0.315609    0.874396
18     0.353125    0.311118    0.884058
19     0.396718    0.299933    0.888889
20     0.392128    0.296383    0.879227
epoch  train_loss  valid_loss  accuracy
1      0.687255    0.634392    0.695652
2      0.647189    0.601233    0.700483
3      0.653049    0.598995    0.729469
4      0.641183    0.589555    0.734300
epoch  train_loss  valid_loss  accuracy
1      0.604324    0.618240    0.681159
2      0.570810    0.608641    0.695652
3      0.579954    0.530804    0.753623
4      0.592200    0.506212    0.772947
5      0.554169    0.520492    0.748792
6      0.567098    0.499738    0.768116
7      0.520431    0.467638    0.816425
8      0.526344    0.484678    0.806763
9      0.525889    0.455523    0.826087
10     0.496984    0.435873    0.797101
11     0.476949    0.444940    0.826087
12     0.433047    0.381741    0.855072
13     0.467479    0.389630    0.855072
14     0.416998    0.364572    0.869565
15     0.438217    0.361770    0.855072
16     0.395701    0.337093    0.884058
17     0.374694    0.345084    0.874396
18     0.390288    0.315806    0.903382
19     0.374726    0.320181    0.893720
20     0.345834    0.310880    0.879227
