
SIMPLE-AWD: drop=0.1 lr=0.0001
epoch  train_loss  valid_loss  accuracy
1      0.642681    0.706660    0.342995
2      0.632135    0.590878    0.695652
3      0.565807    0.580395    0.714976
4      0.534309    0.507981    0.806763
5      0.497565    0.448666    0.816425
6      0.468638    0.480311    0.801932
7      0.445688    0.393641    0.855072
8      0.387468    0.347733    0.888889
9      0.406619    0.360543    0.893720
10     0.380348    0.340446    0.893720
11     0.354686    0.370769    0.869565
12     0.390889    0.339551    0.869565
13     0.339243    0.338337    0.898551
14     0.360809    0.297916    0.869565
15     0.344100    0.307968    0.893720
16     0.296042    0.270591    0.888889
17     0.296238    0.322418    0.859903
18     0.319185    0.275368    0.864734
19     0.272833    0.291218    0.874396
20     0.303305    0.243617    0.888889
epoch  train_loss  valid_loss  accuracy
1      0.631822    0.694169    0.449275
2      0.586646    0.686115    0.541063
3      0.603675    0.595917    0.719807
4      0.551050    0.575306    0.705314
5      0.520772    0.563930    0.734300
6      0.484485    0.561823    0.734300
7      0.444910    0.473716    0.763285
8      0.449731    0.422399    0.855072
9      0.467846    0.399477    0.869565
10     0.419840    0.423706    0.835749
11     0.383386    0.355007    0.864734
12     0.369834    0.340049    0.874396
13     0.385745    0.373213    0.850242
14     0.332179    0.338034    0.869565
15     0.375295    0.394203    0.840580
16     0.356164    0.300811    0.879227
17     0.372448    0.345628    0.859903
18     0.346311    0.290792    0.888889
19     0.296523    0.282327    0.893720
20     0.303744    0.285173    0.879227
epoch  train_loss  valid_loss  accuracy
1      0.675650    0.743465    0.314010
2      0.595808    0.672181    0.618357
3      0.575340    0.639087    0.666667
4      0.535699    0.561755    0.681159
5      0.521922    0.559479    0.719807
6      0.487918    0.560832    0.714976
7      0.443072    0.401374    0.840580
8      0.426536    0.419619    0.835749
9      0.418595    0.453299    0.801932
10     0.407458    0.423456    0.830918
11     0.385519    0.421402    0.850242
12     0.379791    0.401633    0.850242
13     0.340656    0.362246    0.850242
14     0.360513    0.325483    0.884058
15     0.292223    0.319263    0.869565
16     0.292969    0.321803    0.864734
17     0.285410    0.311954    0.864734
18     0.285482    0.321310    0.869565
19     0.292585    0.332207    0.864734
20     0.308736    0.308876    0.864734
epoch  train_loss  valid_loss  accuracy
1      0.672749    0.661891    0.685990
2      0.636086    0.578752    0.734300
3      0.580603    0.579029    0.743961
4      0.559581    0.520608    0.782609
5      0.495385    0.470033    0.840580
6      0.471471    0.462480    0.826087
7      0.435061    0.420396    0.830918
8      0.440643    0.408480    0.821256
9      0.399703    0.353230    0.855072
10     0.386863    0.328588    0.893720
11     0.412945    0.335086    0.884058
12     0.371800    0.347200    0.864734
13     0.380209    0.345813    0.884058
14     0.365992    0.373129    0.869565
15     0.332648    0.353308    0.859903
16     0.285802    0.300528    0.874396
17     0.303965    0.288006    0.884058
18     0.232214    0.297920    0.869565
19     0.236837    0.291561    0.869565
20     0.295290    0.301993    0.869565
epoch  train_loss  valid_loss  accuracy
1      0.667856    0.718618    0.314010
2      0.606978    0.628421    0.618357
3      0.611685    0.565042    0.734300
4      0.559025    0.551347    0.753623
5      0.552277    0.489617    0.777778
6      0.537359    0.471824    0.797101
7      0.512873    0.482780    0.830918
8      0.445051    0.409131    0.845411
9      0.447126    0.392065    0.855072
10     0.425814    0.365125    0.855072
11     0.410452    0.369917    0.879227
12     0.377069    0.324602    0.874396
13     0.333549    0.320723    0.879227
14     0.362530    0.359006    0.855072
15     0.333758    0.299494    0.893720
16     0.370390    0.311948    0.874396
17     0.289762    0.324633    0.888889
18     0.292836    0.273757    0.903382
19     0.275518    0.267998    0.893720
20     0.259055    0.344240    0.864734
total elapsed time: 00:03:47

SIMPLE-AWD-Finetuned-Autopsy: drop=0.1 lr=0.0001
epoch  train_loss  valid_loss  accuracy
1      0.696390    0.696566    0.516908
2      0.657947    0.666305    0.603865
3      0.620386    0.608152    0.700483
4      0.604854    0.620929    0.671498
epoch  train_loss  valid_loss  accuracy
1      0.570998    0.627138    0.666667
2      0.607178    0.543289    0.787440
3      0.545105    0.516741    0.792271
4      0.514931    0.459995    0.821256
5      0.529132    0.413857    0.884058
6      0.498073    0.442070    0.835749
7      0.480501    0.435639    0.830918
8      0.466656    0.415465    0.835749
9      0.432047    0.404002    0.835749
10     0.413585    0.380408    0.850242
11     0.384769    0.383530    0.845411
12     0.369872    0.388490    0.840580
13     0.356156    0.303498    0.888889
14     0.309899    0.295965    0.869565
15     0.315375    0.298006    0.874396
16     0.360408    0.334909    0.869565
17     0.319302    0.290783    0.879227
18     0.279660    0.298749    0.869565
19     0.323741    0.284801    0.869565
20     0.264520    0.341000    0.859903
epoch  train_loss  valid_loss  accuracy
1      0.672952    0.640534    0.599034
2      0.646041    0.560637    0.710145
3      0.641640    0.570006    0.724638
4      0.617201    0.558284    0.758454
epoch  train_loss  valid_loss  accuracy
1      0.639479    0.507543    0.777778
2      0.544548    0.540359    0.768116
3      0.524002    0.470452    0.826087
4      0.535730    0.457479    0.840580
5      0.485629    0.421063    0.850242
6      0.480217    0.380846    0.850242
7      0.471764    0.442249    0.859903
8      0.435075    0.377282    0.869565
9      0.419179    0.374611    0.879227
10     0.394689    0.404821    0.840580
11     0.405656    0.361194    0.879227
12     0.413592    0.333443    0.874396
13     0.369875    0.329908    0.869565
14     0.291049    0.337242    0.879227
15     0.281477    0.341216    0.874396
16     0.335782    0.295254    0.879227
17     0.327215    0.279388    0.888889
18     0.305372    0.308502    0.874396
19     0.347466    0.309949    0.888889
20     0.274977    0.301636    0.888889
epoch  train_loss  valid_loss  accuracy
1      0.642786    0.707382    0.487923
2      0.637716    0.692142    0.521739
3      0.642468    0.663995    0.565217
4      0.632473    0.606251    0.671498
epoch  train_loss  valid_loss  accuracy
1      0.636199    0.587760    0.700483
2      0.633039    0.540295    0.743961
3      0.615866    0.577524    0.710145
4      0.602330    0.568072    0.719807
5      0.555214    0.555457    0.719807
6      0.542298    0.475446    0.806763
7      0.500387    0.428692    0.816425
8      0.468695    0.422989    0.826087
9      0.485325    0.485017    0.826087
10     0.485449    0.423488    0.850242
11     0.459295    0.462768    0.821256
12     0.419898    0.479083    0.772947
13     0.395045    0.415491    0.845411
14     0.405560    0.402037    0.845411
15     0.378393    0.354603    0.879227
16     0.319458    0.356092    0.864734
17     0.307063    0.315630    0.874396
18     0.283138    0.316595    0.879227
19     0.299570    0.310336    0.898551
20     0.277205    0.323188    0.874396
epoch  train_loss  valid_loss  accuracy
1      0.677392    0.643708    0.584541
2      0.654700    0.590183    0.681159
3      0.644013    0.523220    0.768116
4      0.619375    0.565399    0.724638
epoch  train_loss  valid_loss  accuracy
1      0.660684    0.514076    0.782609
2      0.591562    0.505441    0.787440
3      0.613410    0.524641    0.753623
4      0.580049    0.488642    0.830918
5      0.540508    0.440802    0.821256
6      0.543205    0.492491    0.797101
7      0.487613    0.472355    0.821256
8      0.494651    0.398313    0.850242
9      0.473867    0.393535    0.845411
10     0.438625    0.352967    0.869565
11     0.413171    0.377132    0.855072
12     0.393818    0.318163    0.864734
13     0.383988    0.310055    0.884058
14     0.364581    0.308089    0.859903
15     0.336593    0.318050    0.855072
16     0.332085    0.302143    0.869565
17     0.367806    0.312132    0.864734
18     0.389534    0.379017    0.840580
19     0.345606    0.298826    0.864734
20     0.327454    0.298492    0.864734
epoch  train_loss  valid_loss  accuracy
1      0.667205    0.609802    0.705314
2      0.665422    0.580560    0.695652
3      0.611883    0.586519    0.710145
4      0.644344    0.552117    0.719807
epoch  train_loss  valid_loss  accuracy
1      0.625991    0.546242    0.792271
2      0.568179    0.535648    0.787440
3      0.580617    0.503689    0.826087
4      0.534531    0.483774    0.806763
5      0.501669    0.475081    0.855072
6      0.495042    0.449958    0.830918
7      0.482014    0.415362    0.850242
8      0.412838    0.372511    0.855072
9      0.441133    0.368758    0.879227
10     0.422606    0.387963    0.850242
11     0.435587    0.336165    0.874396
12     0.362721    0.321780    0.893720
13     0.340495    0.325552    0.874396
14     0.371534    0.306971    0.893720
15     0.361473    0.303925    0.893720
16     0.317555    0.319613    0.874396
17     0.331598    0.295000    0.879227
18     0.317997    0.296503    0.884058
19     0.311869    0.277954    0.898551
20     0.273718    0.383226    0.855072
total elapsed time: 00:07:52

SIMPLE-AWD-Finetuned-Nidia: drop=0.1 lr=0.0001
epoch  train_loss  valid_loss  accuracy
1      0.681089    0.574513    0.734300
2      0.656568    0.546568    0.739130
3      0.641072    0.518977    0.777778
4      0.637563    0.543636    0.753623
epoch  train_loss  valid_loss  accuracy
1      0.629785    0.532650    0.724638
2      0.618908    0.513106    0.734300
3      0.606812    0.518937    0.753623
4      0.564668    0.486082    0.763285
5      0.541851    0.444560    0.792271
6      0.551386    0.399093    0.835749
7      0.495478    0.481107    0.768116
8      0.486304    0.436989    0.797101
9      0.510055    0.424553    0.801932
10     0.512847    0.415927    0.811594
11     0.446136    0.391570    0.811594
12     0.446436    0.363552    0.835749
13     0.403531    0.404408    0.826087
14     0.445349    0.358624    0.855072
15     0.391774    0.358539    0.845411
